Player,Team_TransferSite,Age,Position,Skill,Potential,TransferValue_EUR_Millions
Mikkel Damsgaard,Brentford,24.0,"AM, M (C)",73.4,78.0,28.6
Dango Ouattara,B'mouth,23.0,"F, M (L), AM (R)",72.9,80.4,28.5
Leif Davis,Ipswich Town,25.0,D (L),67.0,73.9,28.2
Sander Berge,Fulham,27.0,"DM, M (C)",72.4,72.7,27.8
Maxence Lacroix,C. Palace,25.0,D (C),76.4,80.0,27.7
Keane Lewis-Potter,Brentford,24.0,"F, D, M (L)",71.8,77.4,27.1
Vitaly Janelt,Brentford,26.0,"DM, M (C)",77.0,77.8,27.1
Lesley Ugochukwu,Southampton,21.0,"DM, M (C)",62.1,74.4,27.0
Dwight McNeil,Everton,25.0,"AM (C), M (CL)",70.8,75.4,27.0
Evanilson,B'mouth,25.0,F (C),73.4,77.4,26.9
Aaron Wan-Bissaka,West Ham United,27.0,"D, M (R)",74.4,75.0,26.9
Sepp van den Berg,Brentford,23.0,D (CR),71.5,79.4,26.4
Iliman Ndiaye,Everton,25.0,"F, M (L), AM (C)",68.5,72.9,25.7
Mateo Kovačić,Man City,31.0,"M, DM (C)",77.7,77.7,25.3
Jacob Greaves,Ipswich Town,24.0,D (C),65.2,73.1,25.1
Wout Faes,Leicester,27.0,D (C),67.2,70.8,25.0
Robert Sánchez,Chelsea,27.0,GK,75.8,75.8,24.9
Tyrick Mitchell,C. Palace,25.0,"M, D (L)",80.7,83.8,24.6
Jesper Lindstrøm,Everton,25.0,"M (R), AM (CR)",70.6,73.7,24.4
Marcus Tavernier,B'mouth,26.0,"M (RL), AM (L)",71.8,74.8,24.4
Tyler Adams,B'mouth,26.0,DM (C),72.9,75.9,24.4
Beto,Everton,27.0,F (C),66.7,66.7,24.4
Orel Mangala,Everton,27.0,"DM, M (C)",71.2,71.5,24.4
Tosin Adarabioyo,Chelsea,27.0,D (C),74.1,74.1,24.3
Virgil van Dijk,Liverpool,33.0,D (C),79.8,80.3,24.3
Alisson,Liverpool,32.0,GK,78.0,78.0,24.1
Andrew Robertson,Liverpool,31.0,D (L),80.2,80.6,24.0
Carlos Soler,West Ham United,28.0,M (C),71.4,71.6,23.4
Neco Williams,Nottingham,24.0,D (RL),71.6,78.5,23.4
Tomáš Souček,West Ham United,30.0,"DM, M (C)",75.6,75.6,23.2
James Garner,Everton,24.0,"DM, M (C)",74.9,80.4,23.2
